gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000175329,1970.9702836712663,-5.363315135559288,0.1373880937959288,0,0,ISX
ENSG00000075234,1892.4532963682645,-2.2749685631892556,0.09745041520769919,2.000954404592551e-121,5.022395555527302e-119,TTC38
ENSG00000128311,1808.8607090848964,-2.0714093017694903,0.0973962392650844,3.208256602765233e-101,5.368482715293823e-99,TST
ENSG00000196576,5021.231499314366,-1.5057802080056895,0.07491160379236676,1.6692754844488301e-90,2.0949407329832818e-88,PLXNB2
ENSG00000215193,3778.099632395713,-1.9933535805624434,0.10213947551940859,1.1658365215832256e-85,1.1704998676695586e-83,PEX26
ENSG00000197077,3689.1677845249574,-1.55347442966218,0.08516458486156168,5.229413472193349e-75,4.375275938401769e-73,KIAA1671
ENSG00000100242,1191.0775526544967,-2.085523048856283,0.11806882151009006,1.0862624759404054e-70,7.790053756029763e-69,SUN2
ENSG00000128309,828.2003570884385,-1.8695514489676255,0.12886270285722615,1.7439136556699146e-48,8.754446551462972e-47,MPST
ENSG00000100292,320.23017668897864,-3.0391173795592787,0.21260834446766103,2.6381727502426206e-47,1.2039661096561777e-45,HMOX1
ENSG00000186951,2163.21118889034,-1.3693702675575585,0.10106052142786313,2.0782142814546084e-42,8.693863077418445e-41,PPARA
ENSG00000138867,1448.1392995092951,-1.2721132835531956,0.10425689057276627,9.121925291061926e-35,3.522466535471605e-33,GUCD1
ENSG00000100221,1749.3401457300572,-1.1641436107133085,0.09902942323606666,2.2870875007894402e-32,8.200842324259277e-31,JOSD1
ENSG00000075240,854.7671437267161,-1.496738639067394,0.12984438710269405,2.2031958695810657e-31,6.912527040810593e-30,GRAMD4
ENSG00000100284,348.3364678631362,-2.0736928002671946,0.18655668389127583,1.4883076330413377e-29,4.394884892863244e-28,TOM1
ENSG00000198911,3432.695722282643,-0.9117363290346232,0.0821089902672295,5.732789995533702e-29,1.5988114320877326e-27,SREBF2
ENSG00000183773,156.01247600583721,-3.378634612121676,0.31881120100098786,3.369243132207593e-27,8.901895012464272e-26,AIFM3
ENSG00000100412,2433.682599334058,-0.9424258121700625,0.08835656528007939,7.036083563877904e-27,1.766056974533354e-25,ACO2
ENSG00000185133,134.18333530833115,-3.625264459262234,0.34617245570889216,1.2191470709218767e-26,2.914342045727534e-25,INPP5J
ENSG00000243156,1157.403570684478,-1.2287398884936205,0.11860813258958311,1.18645497415286e-25,2.707274531930617e-24,MICAL3
ENSG00000100065,570.1012333982376,-1.4974449789369741,0.14629267633851858,3.2389717119145448e-25,7.069407823396094e-24,CARD10
ENSG00000100300,360.5782388366643,-1.859662322692915,0.18635224418046029,3.090267717597492e-24,6.463809975974755e-23,TSPO
ENSG00000100241,1327.3105273845647,-1.039283531081077,0.10858502515393793,4.510953503814118e-22,8.70961022659495e-21,SBF1
ENSG00000100266,1459.031897782044,-1.0028840441114981,0.10605912068187437,1.3618817792706005e-21,2.4416594756922906e-20,PACSIN2
ENSG00000100280,1805.5668626755187,-0.8900003636007231,0.09545166634412382,5.630341961136014e-21,9.746316084449239e-20,AP1B1
ENSG00000183741,1913.1009169955591,-0.9020387728424965,0.09789278105146802,1.5525414932871316e-20,2.597919432100467e-19,CBX6
ENSG00000128298,259.53508114867793,-1.9748972664245799,0.22781093219087617,6.359064080980567e-19,1.029758118920079e-17,BAIAP2L2
ENSG00000167074,317.58208897063304,-1.8267058696624265,0.21353955564441882,1.919202170530995e-18,2.919513604868362e-17,TEF
ENSG00000100226,873.5298868606335,-1.0918268884661355,0.127187462883023,3.432426694187797e-18,5.067877060241983e-17,GTPBP1
